review_text,statement,justification,label
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
","उपयोगकर्ता को लगता है की अक्षय कुमार की बेफिक्री और भोलापन दर्शकों को आकर्षित करती ह। 
",The user does say that the viewerswere attracted by the naive nature of Akshay kumar,TRUE
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
","अक्षय कुमार का अभिनय में कोई आकर्षण नहीं है।
",The user does feel that the feelings of Akshay Kumar was attractive which is the opposite of the statement given,FALSE
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
","दर्शक को लगता है की अक्षय कुमार की आवाज़ में एक अनूठी गहराई है।
",The user does not state anything about Akshay Kumar's voice,not-given
" अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
",उपयोगकर्ता को लगता है की अक्षय कुमार की अदाकारी आकर्षक है।,The user does feel that Akshay Kumar's acting was attractive,TRUE
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",फ़िल्म में किरदारों का सही से कैरेक्टर डेवलपमेंट नहीं हुआ था,"The review mentions that it would have been better had the director focused on developing characters instead of serving the interests of the producer, which means that the characters were underdeveloped. So the statement is true.",TRUE
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",पर्सनल रिलेशनशिप पर फ़िल्म काला से ज़्यादा ध्यान देने की वजह से फ़िल्म उतना अच्छा नहीं कर सकी,The review states that the director was more focused on serving the interests of the producer rather than focusing on bringing together a great movie. So the statement is true.,TRUE
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",फ़िल्म में काफ़ी प्रभावशाली और आकर्षक किरदार थे,Nothing about the characters in the film was mentioned. So any statement about them would only be an assumption.,not-given
" अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते । 

",निर्देशक ने कैरेक्टर डेवलपमेंट को काफ़ी गंभीरता से लिया,The statement is false because the review states that the characters were underdeveloped due to the director prioritising the producer's interests more.,FALSE
" इंटरवल के बाद जब पात्रों के खुद को पहचानने की बारी आती है , तो कहानी भटकने लगती है। सिर्फ दो घंटे से कम अवधि की फिल्म में भी दर्शक खुद को अंत तक बांध नहीं पाता। 

",फ़िल्म दर्शकों को सम्मोहित करने में असफल रही,"The review states that the story starts wandering after the interval, and that the audience are unable to keep themselves engaged.",TRUE
" इंटरवल के बाद जब पात्रों के खुद को पहचानने की बारी आती है , तो कहानी भटकने लगती है। सिर्फ दो घंटे से कम अवधि की फिल्म में भी दर्शक खुद को अंत तक बांध नहीं पाता। 

",फ़िल्म काफ़ी रोमांचक थी,"Since the audience were not able to keep themselves engaged, it is not logical to say that the movie was interesting to the audience.",FALSE
